,Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Reranking,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
144,145,[M2V_base_glove](https://huggingface.co/minishlab/M2V_base_glove),99%,391.0,0.102,256.0,,,26.98,14.07,41.96,30.25,-0.41,14.04,67.51,27.44,22.91,25.08
145,146,random-encoder-baseline,100%,,,32.0,,18.79,15.92,0.38,30.11,21.2,0.45,11.2,52.78,25.14,1.08,0.92
146,147,[udever-bloom-1b1](https://huggingface.co/izhx/udever-bloom-1b1),100%,,1.065,,,,31.8,19.79,54.71,34.2,-1.1,18.21,68.98,31.23,23.76,36.4
147,148,[potion-base-2M](https://huggingface.co/minishlab/potion-base-2M),99%,7.0,0.002,64.0,,,29.31,12.19,41.67,31.0,0.59,11.53,67.46,37.38,23.37,38.58
148,149,[udever-bloom-7b1](https://huggingface.co/izhx/udever-bloom-7b1),100%,,,,,,31.81,17.22,55.07,33.87,-1.32,16.79,69.32,37.25,23.03,35.08
149,150,[udever-bloom-3b](https://huggingface.co/izhx/udever-bloom-3b),100%,,3.003,,,,29.9,12.23,54.56,33.24,-0.75,18.89,68.91,29.57,19.7,32.71
150,151,[udever-bloom-560m](https://huggingface.co/izhx/udever-bloom-560m),100%,,0.559,,,,25.4,8.99,50.06,27.94,-0.81,14.1,67.91,24.21,10.61,25.57
151,152,[jina-embeddings-v2-base-en](https://huggingface.co/jinaai/jina-embeddings-v2-base-en),100%,262.0,0.137,768.0,8192.0,,19.28,0.9,33.27,21.12,-1.64,10.39,63.26,31.6,4.18,10.47
152,153,[SearchMap_Preview](https://huggingface.co/VPLabs/SearchMap_Preview),⚠️ NA,1660.0,0.435,4096.0,8192.0,,49.44,28.83,69.32,50.19,0.46,4.86,81.31,90.88,48.6,70.49
153,154,[multilingual-e5-large](https://huggingface.co/intfloat/multilingual-e5-large),99%,2136.0,0.56,1024.0,514.0,,51.17,72.99,57.54,38.73,-3.05,14.55,79.15,79.63,66.45,54.5
154,155,[lodestone-base-4096-v1](https://huggingface.co/Hum-Works/lodestone-base-4096-v1),100%,,0.137,768.0,,,,6.26,36.09,21.31,,17.09,66.73,,3.47,26.06
155,156,[all-mpnet-base-v2](https://huggingface.co/sentence-transformers/all-mpnet-base-v2),100%,418.0,0.109,768.0,384.0,,37.86,25.83,44.05,31.9,-3.08,10.87,73.99,71.76,48.35,37.09
156,157,[all-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2),100%,127.0,0.033,384.0,256.0,,37.54,28.06,44.42,28.26,-0.75,7.57,73.51,71.12,47.02,38.64
